uniqueID,drugName,condition,rating,date,usefulCount
190,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42241,3
191,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42240,14
192,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42240,20
193,Medroxyprogesterone,Birth Control,8,42240,3
194,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42240,15
195,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42238,9
197,Medroxyprogesterone,Birth Control,10,42236,5
198,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42235,6
199,Medroxyprogesterone,Birth Control,1,42235,7
201,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42285,9
202,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42285,4
203,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42285,11
204,Medroxyprogesterone,Birth Control,9,42285,5
206,Medroxyprogesterone,Birth Control,1,42283,8
207,Medroxyprogesterone,Birth Control,5,42283,6
208,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42283,24
209,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42283,9
213,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42282,0
218,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42278,5
219,Medroxyprogesterone,Amenorrhea,5,42277,10
220,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42277,7
222,Medroxyprogesterone,Birth Control,1,42276,5
223,Medroxyprogesterone,Birth Control,1,42276,7
224,Medroxyprogesterone,Birth Control,5,42276,5
226,Medroxyprogesterone,Birth Control,1,42180,7
227,Medroxyprogesterone,Birth Control,10,42180,7
228,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42180,26
230,Medroxyprogesterone,Birth Control,9,42177,6
231,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42176,12
232,Medroxyprogesterone,Birth Control,5,42176,11
235,Medroxyprogesterone,Birth Control,1,42173,8
236,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42173,18
237,Medroxyprogesterone,Birth Control,5,42169,10
239,Medroxyprogesterone,Birth Control,1,42167,5
241,Medroxyprogesterone,Abnormal Uterine Bleeding,6,42165,40
242,Medroxyprogesterone,Birth Control,2,42164,9
244,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42161,21
245,Medroxyprogesterone,Abnormal Uterine Bleeding,6,42160,20
246,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42159,17
247,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42159,7
248,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42158,5
250,Medroxyprogesterone,Birth Control,2,41973,33
251,Medroxyprogesterone,Abnormal Uterine Bleeding,3,41973,55
252,Medroxyprogesterone,Birth Control,9,41965,28
253,Medroxyprogesterone,Abnormal Uterine Bleeding,9,41960,40
254,Medroxyprogesterone,Birth Control,4,41960,24
255,Medroxyprogesterone,Abnormal Uterine Bleeding,10,41957,35
256,Medroxyprogesterone,Birth Control,10,41957,15
257,Medroxyprogesterone,Endometriosis,8,41957,23
258,Medroxyprogesterone,Abnormal Uterine Bleeding,7,41948,92
260,Medroxyprogesterone,Birth Control,2,41940,40
261,Medroxyprogesterone,Abnormal Uterine Bleeding,7,41939,41
262,Medroxyprogesterone,Birth Control,10,41938,13
263,Medroxyprogesterone,Birth Control,7,41930,18
264,Medroxyprogesterone,Birth Control,7,41918,22
265,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41916,82
267,Medroxyprogesterone,Birth Control,10,41906,40
269,Medroxyprogesterone,Abnormal Uterine Bleeding,2,41902,53
271,Medroxyprogesterone,Birth Control,3,41901,43
272,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41896,88
273,Medroxyprogesterone,Birth Control,8,41889,1
274,Medroxyprogesterone,Abnormal Uterine Bleeding,8,41889,32
275,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42158,26
277,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42154,17
278,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42154,14
279,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42153,11
281,Medroxyprogesterone,Birth Control,9,42151,13
282,Medroxyprogesterone,Birth Control,9,42151,13
283,Medroxyprogesterone,Birth Control,10,42151,14
284,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42150,8
285,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42149,17
286,Medroxyprogesterone,Birth Control,5,42149,5
287,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42148,17
288,Medroxyprogesterone,Abnormal Uterine Bleeding,3,42148,13
289,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42147,15
291,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42145,23
293,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42142,6
294,Medroxyprogesterone,Birth Control,7,42141,11
295,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42140,9
297,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42138,11
298,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42137,37
299,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42136,4
301,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42054,73
302,Medroxyprogesterone,Amenorrhea,10,42049,9
304,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42034,33
305,Medroxyprogesterone,Birth Control,8,42030,20
306,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42029,9
312,Medroxyprogesterone,Birth Control,10,42011,11
313,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42010,67
314,Medroxyprogesterone,Birth Control,9,42008,19
315,Medroxyprogesterone,Birth Control,10,42006,47
316,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42000,96
318,Medroxyprogesterone,Abnormal Uterine Bleeding,7,41997,63
319,Medroxyprogesterone,Birth Control,3,41994,27
321,Medroxyprogesterone,Birth Control,10,41991,37
324,Medroxyprogesterone,Birth Control,9,41978,17
325,Medroxyprogesterone,Birth Control,3,41483,20
326,Medroxyprogesterone,Birth Control,10,41472,16
329,Medroxyprogesterone,Endometriosis,9,41455,50
330,Medroxyprogesterone,Birth Control,9,41455,13
332,Medroxyprogesterone,Birth Control,10,41450,13
333,Medroxyprogesterone,Birth Control,9,41447,17
334,Medroxyprogesterone,Birth Control,9,41446,11
336,Medroxyprogesterone,Birth Control,10,41432,10
337,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41424,101
338,Medroxyprogesterone,Birth Control,7,41423,8
339,Medroxyprogesterone,Birth Control,10,41418,11
340,Medroxyprogesterone,Birth Control,6,41409,10
341,Medroxyprogesterone,Birth Control,7,41408,7
342,Medroxyprogesterone,Birth Control,5,41406,13
343,Medroxyprogesterone,Birth Control,4,41405,10
344,Medroxyprogesterone,Birth Control,9,41404,10
347,Medroxyprogesterone,Birth Control,4,41388,21
348,Medroxyprogesterone,Endometriosis,10,41382,53
349,Medroxyprogesterone,Abnormal Uterine Bleeding,6,41368,56
350,Medroxyprogesterone,Birth Control,10,42120,5
351,Medroxyprogesterone,Birth Control,1,42119,4
352,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42119,19
353,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42119,16
354,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42118,20
356,Medroxyprogesterone,Birth Control,10,42113,12
357,Medroxyprogesterone,Amenorrhea,10,42110,61
359,Medroxyprogesterone,Birth Control,6,42108,10
361,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42106,15
362,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42103,15
363,Medroxyprogesterone,Birth Control,10,42103,6
364,Medroxyprogesterone,Endometriosis,7,42103,9
365,Medroxyprogesterone,Abnormal Uterine Bleeding,3,42102,7
366,Medroxyprogesterone,Birth Control,10,42101,11
369,Medroxyprogesterone,Endometriosis,7,42099,8
371,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42096,25
372,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42094,12
373,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42092,9
376,Medroxyprogesterone,Birth Control,9,42208,4
378,Medroxyprogesterone,Birth Control,10,42204,6
379,Medroxyprogesterone,Endometrial Hyperplasia Prophylaxis,9,42203,4
382,Medroxyprogesterone,Endometriosis,3,42201,13
383,Medroxyprogesterone,Endometriosis,10,42201,26
384,Medroxyprogesterone,Birth Control,10,42199,6
385,Medroxyprogesterone,Abnormal Uterine Bleeding,6,42199,4
389,Medroxyprogesterone,Birth Control,9,42194,11
390,Medroxyprogesterone,Birth Control,3,42193,4
391,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42193,32
392,Medroxyprogesterone,Birth Control,2,42192,10
393,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42192,5
394,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42192,11
402,Medroxyprogesterone,Abnormal Uterine Bleeding,8,41794,70
403,Medroxyprogesterone,Abnormal Uterine Bleeding,9,41793,21
405,Medroxyprogesterone,Amenorrhea,8,41789,98
406,Medroxyprogesterone,Birth Control,2,41788,4
408,Medroxyprogesterone,Birth Control,5,41770,13
410,Medroxyprogesterone,Birth Control,9,41768,15
411,Medroxyprogesterone,Abnormal Uterine Bleeding,7,41766,71
412,Medroxyprogesterone,Birth Control,10,41759,19
413,Medroxyprogesterone,Abnormal Uterine Bleeding,8,41754,21
414,Medroxyprogesterone,Birth Control,9,41749,13
415,Medroxyprogesterone,Birth Control,10,41746,1
416,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41741,42
417,Medroxyprogesterone,Abnormal Uterine Bleeding,9,41735,21
419,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41729,19
420,Medroxyprogesterone,Amenorrhea,6,41726,14
422,Medroxyprogesterone,Endometriosis,7,41722,40
424,Medroxyprogesterone,Birth Control,7,41718,10
425,Medroxyprogesterone,Birth Control,5,41588,14
426,Medroxyprogesterone,Abnormal Uterine Bleeding,8,41586,24
430,Medroxyprogesterone,Birth Control,9,41583,11
432,Medroxyprogesterone,Birth Control,2,41579,4
433,Medroxyprogesterone,Birth Control,5,41578,8
435,Medroxyprogesterone,Birth Control,6,41567,7
436,Medroxyprogesterone,Birth Control,4,41562,18
437,Medroxyprogesterone,Birth Control,6,41562,9
438,Medroxyprogesterone,Endometriosis,10,41560,82
439,Medroxyprogesterone,Amenorrhea,9,41559,11
440,Medroxyprogesterone,Birth Control,1,41555,26
441,Medroxyprogesterone,Birth Control,10,41540,26
443,Medroxyprogesterone,Birth Control,6,41536,11
445,Medroxyprogesterone,Birth Control,9,41518,17
447,Medroxyprogesterone,Birth Control,10,41514,13
448,Medroxyprogesterone,Abnormal Uterine Bleeding,8,41512,35
449,Medroxyprogesterone,Birth Control,4,41489,16
450,Medroxyprogesterone,Birth Control,8,42136,11
452,Medroxyprogesterone,Birth Control,4,42132,3
454,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42132,12
455,Medroxyprogesterone,Birth Control,10,42131,18
456,Medroxyprogesterone,Birth Control,9,42131,4
457,Medroxyprogesterone,Birth Control,8,42129,7
458,Medroxyprogesterone,Amenorrhea,9,42129,13
459,Medroxyprogesterone,Amenorrhea,9,42129,18
461,Medroxyprogesterone,Birth Control,9,42128,12
462,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42128,23
463,Medroxyprogesterone,Abnormal Uterine Bleeding,7,42128,7
464,Medroxyprogesterone,Birth Control,10,42127,8
465,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42127,29
466,Medroxyprogesterone,Abnormal Uterine Bleeding,6,42127,10
467,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42126,11
468,Medroxyprogesterone,Birth Control,3,42126,7
470,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42125,35
471,Medroxyprogesterone,Birth Control,8,42125,4
472,Medroxyprogesterone,Birth Control,8,42124,1
474,Medroxyprogesterone,Birth Control,9,42122,4
477,Medroxyprogesterone,Birth Control,6,41694,19
479,Medroxyprogesterone,Birth Control,5,41688,19
480,Medroxyprogesterone,Birth Control,5,41687,8
483,Medroxyprogesterone,Amenorrhea,10,41679,26
484,Medroxyprogesterone,Birth Control,2,41679,14
485,Medroxyprogesterone,Endometriosis,9,41678,39
486,Medroxyprogesterone,Abnormal Uterine Bleeding,9,41668,24
488,Medroxyprogesterone,Birth Control,2,41667,15
489,Medroxyprogesterone,Abnormal Uterine Bleeding,9,41661,27
490,Medroxyprogesterone,Endometriosis,10,41651,38
492,Medroxyprogesterone,Birth Control,10,41642,17
493,Medroxyprogesterone,Amenorrhea,10,41621,25
494,Medroxyprogesterone,Birth Control,10,41618,31
495,Medroxyprogesterone,Birth Control,10,41607,34
496,Medroxyprogesterone,Birth Control,5,41594,10
497,Medroxyprogesterone,Birth Control,9,41593,12
498,Medroxyprogesterone,Birth Control,9,41591,13
499,Medroxyprogesterone,Birth Control,1,41590,18
500,Medroxyprogesterone,Birth Control,10,41889,23
504,Medroxyprogesterone,Abnormal Uterine Bleeding,5,41865,31
505,Medroxyprogesterone,Birth Control,3,41865,11
506,Medroxyprogesterone,Birth Control,4,41864,34
507,Medroxyprogesterone,Abnormal Uterine Bleeding,10,41862,57
508,Medroxyprogesterone,Abnormal Uterine Bleeding,8,41862,38
509,Medroxyprogesterone,Abnormal Uterine Bleeding,7,41861,18
510,Medroxyprogesterone,Birth Control,5,41860,15
514,Medroxyprogesterone,Birth Control,2,41844,20
515,Medroxyprogesterone,Birth Control,9,41841,24
516,Medroxyprogesterone,Birth Control,6,41841,6
517,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41835,17
518,Medroxyprogesterone,Abnormal Uterine Bleeding,6,41831,13
519,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41824,36
521,Medroxyprogesterone,Birth Control,1,41822,6
522,Medroxyprogesterone,Birth Control,10,41821,11
524,Medroxyprogesterone,Birth Control,4,41819,7
526,Medroxyprogesterone,Birth Control,10,42089,16
527,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42088,0
530,Medroxyprogesterone,Amenorrhea,10,42084,34
531,Medroxyprogesterone,Birth Control,1,42083,0
533,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42079,67
535,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42078,29
536,Medroxyprogesterone,Abnormal Uterine Bleeding,6,42077,0
538,Medroxyprogesterone,Birth Control,4,42075,0
541,Medroxyprogesterone,Birth Control,4,42070,1
543,Medroxyprogesterone,Birth Control,9,42069,1
544,Medroxyprogesterone,Abnormal Uterine Bleeding,7,42064,29
546,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42063,40
547,Medroxyprogesterone,Birth Control,7,42062,14
548,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42061,75
549,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42057,6
550,Medroxyprogesterone,Birth Control,8,41367,10
551,Medroxyprogesterone,Birth Control,7,41367,19
552,Medroxyprogesterone,Birth Control,8,41358,20
554,Medroxyprogesterone,Birth Control,4,41355,14
555,Medroxyprogesterone,Birth Control,10,41338,1
557,Medroxyprogesterone,Birth Control,9,41332,14
558,Medroxyprogesterone,Birth Control,8,41331,4
560,Medroxyprogesterone,Birth Control,3,41303,19
561,Medroxyprogesterone,Birth Control,9,41296,26
562,Medroxyprogesterone,Birth Control,10,41293,25
563,Medroxyprogesterone,Endometriosis,10,41284,62
564,Medroxyprogesterone,Birth Control,1,41279,23
565,Medroxyprogesterone,Endometriosis,8,41277,18
569,Medroxyprogesterone,Birth Control,2,41252,10
572,Medroxyprogesterone,Birth Control,10,41222,13
574,Medroxyprogesterone,Birth Control,9,41217,12
575,Medroxyprogesterone,Birth Control,10,41214,17
577,Medroxyprogesterone,Amenorrhea,9,41196,46
578,Medroxyprogesterone,Abnormal Uterine Bleeding,3,41193,29
579,Medroxyprogesterone,Birth Control,2,41192,2
581,Medroxyprogesterone,Birth Control,9,41168,11
583,Medroxyprogesterone,Birth Control,1,41151,6
584,Medroxyprogesterone,Birth Control,10,41150,4
586,Medroxyprogesterone,Birth Control,8,41135,3
587,Medroxyprogesterone,Birth Control,1,41134,10
588,Medroxyprogesterone,Birth Control,7,41126,2
589,Medroxyprogesterone,Birth Control,2,41120,0
590,Medroxyprogesterone,Endometriosis,1,41115,36
591,Medroxyprogesterone,Abnormal Uterine Bleeding,1,41112,39
592,Medroxyprogesterone,Birth Control,9,41089,14
593,Medroxyprogesterone,Birth Control,2,41087,10
594,Medroxyprogesterone,Amenorrhea,8,41085,32
595,Medroxyprogesterone,Amenorrhea,9,41073,29
597,Medroxyprogesterone,Endometriosis,1,41069,23
599,Medroxyprogesterone,Birth Control,3,41060,9
600,Medroxyprogesterone,Renal Cell Carcinoma,7,41059,14
603,Medroxyprogesterone,Birth Control,1,41039,6
604,Medroxyprogesterone,Birth Control,3,41027,3
606,Medroxyprogesterone,Birth Control,8,41023,5
607,Medroxyprogesterone,Birth Control,9,41023,2
609,Medroxyprogesterone,Birth Control,5,41008,8
610,Medroxyprogesterone,Birth Control,3,41007,4
611,Medroxyprogesterone,Birth Control,8,40984,3
612,Medroxyprogesterone,Birth Control,8,40984,7
614,Medroxyprogesterone,Birth Control,10,40971,10
618,Medroxyprogesterone,Birth Control,9,40939,4
619,Medroxyprogesterone,Birth Control,1,40933,5
620,Medroxyprogesterone,Birth Control,1,40930,6
622,Medroxyprogesterone,Birth Control,3,40918,3
623,Medroxyprogesterone,Birth Control,9,40917,5
627,Medroxyprogesterone,Birth Control,1,40082,40
628,Medroxyprogesterone,Birth Control,3,40079,43
629,Medroxyprogesterone,Birth Control,8,40071,3
630,Medroxyprogesterone,Endometriosis,7,40070,14
631,Medroxyprogesterone,Amenorrhea,10,40053,35
632,Medroxyprogesterone,Endometriosis,9,40052,51
636,Medroxyprogesterone,Abnormal Uterine Bleeding,1,40024,29
637,Medroxyprogesterone,Birth Control,9,40023,0
639,Medroxyprogesterone,Birth Control,10,39995,20
640,Medroxyprogesterone,Birth Control,3,39972,79
642,Medroxyprogesterone,Birth Control,3,39961,10
643,Medroxyprogesterone,Birth Control,4,39942,30
644,Medroxyprogesterone,Abnormal Uterine Bleeding,8,39936,18
645,Medroxyprogesterone,Endometriosis,10,39923,3
646,Medroxyprogesterone,Birth Control,3,39915,106
647,Medroxyprogesterone,Birth Control,10,39901,8
648,Medroxyprogesterone,Abnormal Uterine Bleeding,8,39897,73
650,Medroxyprogesterone,Abnormal Uterine Bleeding,1,40908,62
651,Medroxyprogesterone,Birth Control,10,40907,1
652,Medroxyprogesterone,Birth Control,1,40879,5
653,Medroxyprogesterone,Birth Control,10,40874,1
654,Medroxyprogesterone,Birth Control,5,40873,15
656,Medroxyprogesterone,Birth Control,9,40870,4
659,Medroxyprogesterone,Birth Control,10,40861,4
660,Medroxyprogesterone,Birth Control,1,40859,8
661,Medroxyprogesterone,Birth Control,9,40852,9
662,Medroxyprogesterone,Amenorrhea,6,40846,3
664,Medroxyprogesterone,Birth Control,1,40836,21
665,Medroxyprogesterone,Amenorrhea,7,40835,22
667,Medroxyprogesterone,Birth Control,2,40823,6
669,Medroxyprogesterone,Endometriosis,8,40817,15
670,Medroxyprogesterone,Birth Control,10,40815,5
671,Medroxyprogesterone,Endometriosis,1,40812,18
672,Medroxyprogesterone,Birth Control,6,40806,2
675,Medroxyprogesterone,Abnormal Uterine Bleeding,6,39886,105
676,Medroxyprogesterone,Endometriosis,3,39877,21
677,Medroxyprogesterone,Abnormal Uterine Bleeding,1,39865,16
678,Medroxyprogesterone,Birth Control,10,39850,43
681,Medroxyprogesterone,Abnormal Uterine Bleeding,10,39824,45
682,Medroxyprogesterone,Abnormal Uterine Bleeding,10,39819,107
683,Medroxyprogesterone,Amenorrhea,10,39801,79
686,Medroxyprogesterone,Amenorrhea,10,39778,58
688,Medroxyprogesterone,Amenorrhea,10,39743,67
